,Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Ranking,Url,Title,Year,Gender
1188,Darya Naumava,74.63,116,142,258,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1189,Lidia Valentín,74.0,116,141,257,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1190,Ubaldina Valoyes,74.28,111,136,247,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1191,Iryna Dekha,74.89,114,133,247,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1192,Jenny Arthur,74.65,107,135,242,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1193,María Fernanda Valdés,74.66,107,135,242,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1194,Gaëlle Nayo-Ketchanke,73.61,102,135,237,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1195,Alejandra Garza,74.59,98,126,224,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1196,Sona Poghosyan,72.52,97,126,223,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1197,Mary Opeloge,74.56,100,118,218,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1198,Natalia Prișcepa,73.72,97,116,213,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1199,Assiya İpek,69.77,83,103,186,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1200,Samira Ouass,73.68,75,97,172,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1201,Jaqueline Ferreira,74.89,-1,-1,-1,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2016 Summer Olympics – Women's 75 kg,2016,Women
1202,Ruslan Nurudinov (UZB),104.96,194,237,431,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1203,Simon Martirosyan (ARM),104.63,190,227,417,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1204,Aleksandr Zaychikov (KAZ),104.51,193,223,416,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1205,Yang Zhe (CHN),104.59,190,225,415,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1206,Ivan Efremov (UZB),104.9,194,220,414,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1207,Mohammad Reza Barari (IRI),104.65,186,220,406,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1208,Arkadiusz Michalski (POL),104.77,179,221,400,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1209,Artūrs Plēsnieks (LAT),103.99,181,218,399,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1210,Salwan Jassim Abbood (IRQ),103.8,180,214,394,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1211,Jürgen Spieß (GER),104.51,170,220,390,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1212,Sargis Martirosjan (AUT),104.19,179,210,389,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1213,Gaber Mohamed (EGY),104.98,173,204,377,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1214,Hernán Viera (PER),103.85,151,200,351,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1215,David Katoatau (KIR),104.58,145,204,349,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1216,Bartłomiej Bonk (POL),104.07,185,-1,-1,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1217,Giorgi Chkheidze (GEO),104.74,170,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1218,Mateus Gregório (BRA),104.47,170,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2016 Summer Olympics – Men's 105 kg,2016,Men
1219,Meng Suping,120.27,130,177,307,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1220,Kim Kuk-hyang,100.43,131,175,306,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1221,Sarah Robles,143.3,126,160,286,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1222,Shaimaa Khalaf,123.75,117,161,278,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1223,Lee Hui-sol,119.49,122,153,275,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1224,Son Young-hee,109.58,118,155,273,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1225,Yaniuska Espinosa,114.08,121,152,273,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1226,Andreea Aanei,120.01,120,145,265,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1227,Mariam Usman,122.39,115,150,265,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1228,Anastasiya Lysenko,100.97,117,146,263,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1229,Yosra Dhieb,120.06,111,138,249,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1230,Anastasiia Hotfrid,86.98,113,135,248,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1231,Tracey Lambrechs,106.54,98,133,231,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1232,Luisa Peters,100.27,100,124,224,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1233,Bouchra Fatima Zohra Hirech,80.35,87,105,192,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1234,Naryury Pérez,99.91,117,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2016 Summer Olympics – Women's +75 kg,2016,Women
1235,Lasha Talakhadze (GEO),157.34,215,258,473,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1236,Gor Minasyan (ARM),143.67,210,241,451,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1237,Irakli Turmanidze (GEO),135.58,207,241,448,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1238,Ruben Aleksanyan (ARM),151.64,195,245,440,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1239,Fernando Reis (BRA),154.58,195,240,435,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1240,Rustam Djangabaev (UZB),145.88,195,237,432,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1241,Mart Seim (EST),149.1,187,243,430,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1242,Jiří Orság (CZE),127.27,185,240,425,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1243,Almir Velagić (GER),149.17,188,232,420,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1244,Péter Nagy (HUN),158.86,193,227,420,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1245,Sardorbek Dustmurotov (UZB),109.79,179,232,411,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1246,Aliksei Mzhachyk (BLR),135.6,187,224,411,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1247,Walid Bidani (ALG),123.46,190,220,410,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1248,Fernando Salas (ECU),162.5,184,221,405,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1249,Man Asaad (SYR),143.42,180,220,400,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1250,Alexej Prochorow (GER),138.31,180,215,395,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1251,Igor Olshanetskyi (ISR),129.54,165,207,372,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1252,Ondrej Kružel (SVK),118.64,165,206,371,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1253,Ihor Shymechko (UKR),129.75,170,195,365,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1254,Behdad Salimi (IRI),169.79,216,-1,-1,20,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1255,Chen Shih-chieh (TPE),151.66,185,-1,-1,21,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1256,Ahmed Mohamed (EGY),143.88,190,-1,-1,22,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1257,Hojamuhammet Toychiyev (TKM),144.71,-1,-1,-1,23,https://en.wikipedia.org//wiki/Weightlifting_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2016 Summer Olympics – Men's +105 kg,2016,Men
1258,Li Fabin,60.9,141,172,313,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1259,Eko Yuli Irawan,60.8,137,165,302,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1260,Igor Son,60.25,131,163,294,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1261,Yoichi Itokazu,60.85,133,159,292,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1262,Seraj Al-Saleem,60.9,129,159,288,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1263,Davide Ruiu,60.9,127,159,286,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1264,Shota Mishvelidze,60.95,130,155,285,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1265,Luis García,60.95,120,154,274,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1266,Simon Brandhuber,61.0,123,145,268,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1267,Morea Baru,61.0,118,147,265,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1268,Eric Andriantsitohaina,60.1,114,150,264,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1269,Marcos Rojas,60.9,105,135,240,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1270,Thạch Kim Tuấn,60.8,126,-1,-1,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1271,Kao Chan-hung,60.7,125,-1,-1,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_61_kg,Weightlifting at the 2020 Summer Olympics – Men's 61 kg,2020,Men
1272,Hou Zhihui,49.0,94,116,210,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1273,Saikhom Mirabai Chanu,48.85,87,115,202,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1274,Windy Cantika Aisah,48.8,84,110,194,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1275,Fang Wan-ling,48.65,80,101,181,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1276,Nina Sterckx,48.75,81,99,180,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1277,Ludia Montero,49.0,82,96,178,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1278,Anaïs Michel,48.9,78,99,177,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1279,Beatriz Pirón,49.0,81,95,176,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1280,Natasha Rosa Figueiredo,48.95,78,95,173,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1281,Dika Toua,48.95,72,95,167,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1282,Roilya Ranaivosoa,48.95,73,91,164,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1283,Jourdan Delacruz,48.9,86,-1,-1,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1284,Hiromi Miyake,48.9,74,-1,-1,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1285,Kristina Sobol,49.0,-1,-1,-1,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_49_kg,Weightlifting at the 2020 Summer Olympics – Women's 49 kg,2020,Women
1286,Chen Lijun,66.85,145,187,332,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1287,Luis Javier Mosquera,66.85,151,180,331,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1288,Mirko Zanni,66.95,145,177,322,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1289,Han Myeong-mok,66.9,147,174,321,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1290,Talha Talib,66.95,150,170,320,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1291,Adkhamjon Ergashev,67.0,139,173,312,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1292,Mitsunori Konnai,66.95,135,172,307,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1293,Goga Chkheidze,66.95,133,169,302,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1294,Deni,66.75,135,166,301,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1295,Jonathan Muñoz,66.85,135,163,298,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1296,Tojonirina Andriantsitohaina,66.0,130,155,285,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1297,Ruben Katoatau,67.0,105,140,245,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1298,Muhammed Furkan Özbek,66.7,142,-1,-1,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1299,Bernardin Matam,66.95,135,-1,-1,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_67_kg,Weightlifting at the 2020 Summer Olympics – Men's 67 kg,2020,Men
1300,Hidilyn Diaz,54.8,97,127,224,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_55_kg,Weightlifting at the 2020 Summer Olympics – Women's 55 kg,2020,Women
1301,Liao Qiuyun,54.65,97,126,223,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_55_kg,Weightlifting at the 2020 Summer Olympics – Women's 55 kg,2020,Women
1302,Zulfiya Chinshanlo,54.95,90,123,213,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_55_kg,Weightlifting at the 2020 Summer Olympics – Women's 55 kg,2020,Women
